name,matchweek,goals_scored,assists,clean_sheets,minutes_played,points
Femi Seriki,2,0,0,0,0,0
Radek Vítek,2,0,0,0,0,0
Jack Hinshelwood,2,0,0,0,0,0
Jadon Sancho,2,0,0,0,24,1
Rhys Norrington-Davies,2,0,0,0,0,0
Vitaly Janelt,2,0,0,1,90,3
Ionuț Radu,2,0,0,0,0,0
Andre Brooks,2,0,0,0,16,1
Jack Grealish,2,0,0,1,90,3
Emil Krafth,2,0,0,0,0,0
Boubacar Traoré,2,0,0,0,0,0
Curtis Jones,2,0,0,0,0,0
Reece James,2,0,0,0,0,0
Brandon Austin,2,0,0,0,0,0
Robin Olsen,2,0,0,0,0,0
Ben Osborn,2,0,0,0,90,1
Amad Diallo,2,0,0,0,0,0
Anthony Elanga,2,0,0,0,21,1
Oliver Norwood,2,0,0,0,90,1
Harry Toffolo,2,0,0,0,0,0
Bernardo Veiga de Carvalho e Silva,2,0,0,0,0,0
Ivan Toney,2,0,0,0,0,0
Nuno Varela Tavares,2,0,0,0,0,0
Alex Murphy,2,0,0,0,0,0
Eddie Nketiah,2,0,1,1,78,5
Benoît Badiashile,2,0,0,0,0,0
Emile Smith Rowe,2,0,0,0,0,0
Jarell Quansah,2,0,0,0,0,0
Ben Chilwell,2,0,0,0,60,1
Philippe Coutinho Correia,2,0,0,0,21,1
Tim Iroegbunam,2,0,0,0,0,0
Andy Lonergan,2,0,0,0,0,0
Pablo Sarabia,2,0,1,0,35,4
Kieffer Moore,2,0,0,0,27,1
Wayne Hennessey,2,0,0,0,0,0
Remi Matthews,2,0,0,0,0,0
Ibrahima Konaté,2,0,0,0,90,2
Joelinton Cássio Apolinário de Lira,2,0,0,0,56,0
Marcus Tavernier,2,0,0,0,0,0
Matthew Cox,2,0,0,0,0,0
Manuel Akanji,2,0,0,1,90,7
Matheus França de Oliveira,2,0,0,0,0,0
Lucas Tolentino Coelho de Lima,2,1,0,0,90,6
Rasmus Højlund,2,0,0,0,0,0
Rayan Aït-Nouri,2,0,0,0,86,0
Calum Chambers,2,0,0,0,0,0
Ben Davies,2,0,1,0,20,4
Emerson Palmieri dos Santos,2,0,1,0,90,4
Luis Díaz,2,1,0,0,85,7
Jakub Moder,2,0,0,0,0,0
John Stones,2,0,0,0,0,0
Idrissa Gueye,2,0,0,0,45,0
Harry Wilson,2,0,0,0,90,2
Marcus Bettinelli,2,0,0,0,0,0
Malcolm Ebiowei,2,0,0,0,0,0
Benjamin White,2,0,0,1,90,7
Teden Mengi,2,0,0,0,0,0
Ezri Konsa Ngoyo,2,0,0,1,90,6
Thomas Partey,2,0,0,1,90,3
Jamal Lewis,2,0,0,0,0,0
Leon Bailey,2,1,1,1,62,14
Ethan Horvath,2,0,0,0,0,0
Luke Plange,2,0,0,0,0,0
Luke Shaw,2,0,0,0,90,1
Mario Lemina,2,0,0,0,90,2
Andi Zeqiri,2,0,0,0,0,0
James Tarkowski,2,0,0,0,90,0
Kristoffer Ajer,2,0,1,0,1,4
Brennan Johnson,2,0,0,0,90,2
Jake O'Brien,2,0,0,0,0,0
Ryan Sessegnon,2,0,0,0,0,0
Justin Kluivert,2,0,0,0,27,1
Viljami Sinisalo,2,0,0,0,0,0
Pierre-Emile Højbjerg,2,0,0,0,14,1
Lesley Ugochukwu,2,0,0,0,0,0
Arnaut Danjuma Groeneveld,2,0,0,0,52,1
Callum Hudson-Odoi,2,0,0,0,0,0
Kieran Tierney,2,0,0,0,0,0
Tim Ream,2,0,0,0,63,-2
Phil Foden,2,0,1,1,90,9
Christian Eriksen,2,0,0,0,24,1
Fábio Silva,2,0,0,0,54,1
Alfie Whiteman,2,0,0,0,0,0
James Tomkins,2,0,0,0,0,0
William Osula,2,0,0,0,73,2
Ollie Watkins,2,0,1,1,73,5
Gabriel dos Santos Magalhães,2,0,0,0,20,1
Takehiro Tomiyasu,2,0,0,1,66,3
Harrison Reed,2,0,0,0,66,1
Manor Solomon,2,0,0,0,2,1
Marcus Oliveira Alencar,2,0,0,0,0,0
Eric Bailly,2,0,0,0,0,0
Hakim Ziyech,2,0,0,0,0,0
Gianluca Scamacca,2,0,0,0,0,0
Christian Nørgaard,2,0,0,1,78,3
Sean Longstaff,2,0,0,0,33,1
Danny Ings,2,0,0,0,0,0
Donny van de Beek,2,0,0,0,0,0
Giulian Biancone,2,0,0,0,0,0
Albert Sambi Lokonga,2,0,0,0,0,0
Kaoru Mitoma,2,1,1,0,80,12
Abdul Rahman Baba,2,0,0,0,0,0
Dango Ouattara,2,0,0,0,0,0
Daniel Jebbison,2,0,0,0,0,0
Simon Adingra,2,0,0,0,0,0
Sergio Gómez,2,0,0,0,0,0
Wataru Endo,2,0,0,0,27,1
Danilo dos Santos de Oliveira,2,0,0,0,90,2
David Raya Martin,2,0,0,0,0,0
Jacob Murphy,2,0,0,0,0,0
Jean-Philippe Mateta,2,0,0,0,0,0
Ben Pearson,2,0,0,0,0,0
Felipe Augusto de Almeida Monteiro,2,0,0,0,0,0
William Saliba,2,0,0,1,90,8
Ben Godfrey,2,0,0,0,0,0
André Tavares Gomes,2,0,0,0,0,0
Destiny Udogie,2,0,0,1,69,5
Ryan Trevitt,2,0,0,0,0,0
Douglas Luiz Soares de Paulo,2,1,0,1,63,7
Mark Flekken,2,0,0,1,90,6
Martin Dubravka,2,0,0,0,0,0
James McConnell,2,0,0,0,0,0
Stefan Bajcetic,2,0,0,0,0,0
Andreas Hoelgebaum Pereira,2,0,0,0,67,2
Marc Cucurella Saseta,2,0,0,0,0,0
João Palhinha Gonçalves,2,0,0,0,23,0
Bryan Gil Salvatierra,2,0,0,0,0,0
Neco Williams,2,0,0,0,90,2
Harrison Ashby,2,0,0,0,0,0
Billy Gilmour,2,0,0,0,90,2
John Egan,2,0,0,0,90,1
Mikkel Damsgaard,2,0,0,0,11,1
Angelo Ogbonna,2,0,0,0,21,1
Chris Basham,2,0,0,0,32,1
Son Heung-min,2,0,0,1,90,3
Joe Gomez,2,0,0,0,14,1
Darren Randolph,2,0,0,0,0,0
Ben Johnson,2,0,0,0,0,0
Pedro Porro,2,0,0,1,87,6
Levi Colwill,2,0,0,0,90,1
Jonathan Panzo,2,0,0,0,0,0
Pablo Fornals Malla,2,0,0,0,14,1
Rico Henry,2,0,0,1,90,5
Bobby Clark,2,0,0,0,0,0
Flynn Downes,2,0,0,0,0,0
Ben Greenwood,2,0,0,0,0,0
Joe Willock,2,0,0,0,0,0
Javier Manquillo Gaitán,2,0,0,0,0,0
Kobbie Mainoo,2,0,0,0,0,0
Dominic Calvert-Lewin,2,0,0,0,37,1
Tommy Doyle,2,0,0,0,0,0
Halil Dervişoğlu,2,0,0,0,0,0
João Pedro Junqueira de Jesus,2,0,0,0,33,0
Kurt Zouma,2,0,0,0,90,2
Omar Richards,2,0,0,0,0,0
Iliman Ndiaye,2,0,0,0,0,0
Shea Charles,2,0,0,0,0,0
Joe Rodon,2,0,0,0,0,0
Neal Maupay,2,0,0,0,39,1
Jordan Ayew,2,0,0,0,90,1
Divin Mubama,2,0,0,0,0,0
Nathaniel Phillips,2,0,0,0,0,0
Dominik Szoboszlai,2,0,1,0,90,5
Mason Mount,2,0,0,0,84,2
Ellery Balcombe,2,0,0,0,0,0
David Brooks,2,0,0,0,14,1
Pascal Groß,2,0,0,0,80,1
John McGinn,2,1,0,1,90,10
Tanguy Ndombélé Alvaro,2,0,0,0,0,0
Jairo Riedewald,2,0,0,0,0,0
Yoane Wissa,2,1,1,1,78,11
Reiss Nelson,2,0,0,0,0,0
Facundo Pellistri Rebollo,2,0,0,0,5,1
James Hill,2,0,0,0,0,0
Bruno Cavaco Jordão,2,0,0,0,0,0
Kjell Scherpen,2,0,0,0,0,0
Máximo Perrone,2,0,0,0,0,0
Aleksandar Mitrović,2,0,0,0,0,0
Kevin Schade,2,0,0,1,70,3
Moussa Niakhaté,2,0,0,0,1,1
Paul Dummett,2,0,0,0,0,0
Sven Botman,2,0,0,0,90,2
Issa Diop,2,0,0,0,90,1
Aaron Ramsdale,2,0,0,1,90,6
Tosin Adarabioyo,2,0,0,0,0,0
Trent Alexander-Arnold,2,0,0,0,75,2
Pervis Estupiñán,2,1,1,0,90,11
Harvey Elliott,2,0,0,0,14,1
Jack Robinson,2,0,0,0,90,1
Gabriel Martinelli Silva,2,0,0,1,69,3
Jhon Durán,2,1,0,0,16,7
Oscar Bobb,2,0,0,0,0,0
Michail Antonio,2,1,0,0,75,9
Malang Sarr,2,0,0,0,0,0
Ângelo Gabriel Borges Damaceno,2,0,0,0,0,0
Micky van de Ven,2,0,0,1,90,7
Adama Traoré,2,0,0,0,4,1
Shola Shoretire,2,0,0,0,0,0
Lisandro Martínez,2,0,0,0,90,-1
Alex Mighten,2,0,0,0,0,0
Bryan Mbeumo,2,2,0,1,90,16
Nicolas Pépé,2,0,0,0,0,0
Alexis Mac Allister,2,0,0,0,57,-2
Omari Kellyman,2,0,0,0,0,0
Youri Tielemans,2,0,0,0,27,1
Remo Freuler,2,0,0,0,0,0
Illia Zabarnyi,2,0,0,0,90,1
Karl Hein,2,0,0,0,0,0
Aaron Connolly,2,0,0,0,0,0
Dean Henderson,2,0,0,0,0,0
Marcos Senesi,2,0,0,0,83,1
Granit Xhaka,2,0,0,0,0,0
Dan Burn,2,0,0,0,90,2
Saïd Benrahma,2,0,0,0,68,2
Brandon Aguilera Zamora,2,0,0,0,0,0
Tyler Onyango,2,0,0,0,1,1
Gustavo Hamer,2,1,0,0,90,6
Karl Darlow,2,0,0,0,0,0
Joachim Andersen,2,0,0,0,90,2
Pedro Lomba Neto,2,0,0,0,90,2
Luc De Fougerolles,2,0,0,0,0,0
Dane Scarlett,2,0,0,0,0,0
Lucas Digne,2,0,1,1,90,10
Enzo Fernández,2,0,0,0,90,0
Matt Targett,2,0,0,0,0,0
Demarai Gray,2,0,0,0,0,0
Stefan Ortega Moreno,2,0,0,0,0,0
Sam Johnstone,2,0,0,0,90,2
Emiliano Buendía Stati,2,0,0,0,0,0
Alexandre Moreno Lopera,2,0,0,0,0,0
Japhet Tanganga,2,0,0,0,0,0
Nathan Collins,2,0,0,1,90,6
Leandro Trossard,2,0,0,0,0,0
Antony Matheus dos Santos,2,0,0,0,65,1
Trevoh Chalobah,2,0,0,0,0,0
Luke Cundle,2,0,0,0,0,0
Lukasz Fabianski,2,0,0,0,0,0
Tino Livramento,2,0,0,0,4,1
Aymeric Laporte,2,0,0,0,0,0
Kieran Trippier,2,0,0,0,90,2
Richarlison de Andrade,2,0,0,1,69,3
Jayden Bogle,2,0,0,0,0,0
Jason Steele,2,0,0,0,90,3
Nick Pope,2,0,0,0,90,3
Kai Havertz,2,0,0,1,90,2
Wesley Moraes Ferreira da Silva,2,0,0,0,0,0
Vladimír Coufal,2,0,0,0,90,2
Marcus Rashford,2,0,0,0,84,2
Lewis O'Brien,2,0,0,0,0,0
Evan Ferguson,2,0,0,0,23,1
Tom McGill,2,0,0,0,0,0
Yves Bissouma,2,0,0,1,90,3
João Victor Gomes da Silva,2,0,0,0,54,1
Abdoulaye Doucouré,2,0,0,0,90,2
Ederson Santana de Moraes,2,0,0,1,90,6
Virgil van Dijk,2,0,0,0,90,2
Willy Boly,2,0,0,0,68,1
Scott McTominay,2,0,0,0,0,0
Rico Lewis,2,0,0,0,0,0
Alejandro Garnacho,2,0,0,0,65,2
Jean-Philippe Gbamin,2,0,0,0,0,0
Lewis Dobbin,2,0,0,0,45,1
Riyad Mahrez,2,0,0,0,0,0
Matija Šarkić,2,0,0,0,0,0
Auston Trusty,2,0,0,0,0,0
Anthony Gordon,2,0,0,0,55,0
Emmanuel Dennis,2,0,0,0,0,0
Nathaniel Clyne,2,0,0,0,0,0
Thiago Alcántara do Nascimento,2,0,0,0,0,0
Edson Álvarez Velázquez,2,0,0,0,9,1
Jakub Kiwior,2,0,0,0,1,1
Lloyd Kelly,2,0,0,0,14,1
Vitalii Mykolenko,2,0,0,0,0,0
Emerson Leite de Souza Junior,2,0,0,0,2,1
Joël Veltman,2,0,0,0,33,1
Miguel Almirón Rejala,2,0,0,0,85,2
Charlie Goode,2,0,0,0,0,0
Alejo Véliz,2,0,0,0,0,0
Kepa Arrizabalaga,2,0,0,0,0,0
Mark Travers,2,0,0,0,0,0
Guglielmo Vicario,2,0,0,1,90,11
Isaac Hayden,2,0,0,0,0,0
Jamaal Lascelles,2,0,0,0,0,0
Andrew Robertson,2,0,0,0,90,2
Giovani Lo Celso,2,0,0,0,0,0
Jeffrey Schlupp,2,0,0,0,73,2
Alex Iwobi,2,0,0,0,50,1
Cody Gakpo,2,0,0,0,62,2
Nicolas Jackson,2,0,0,0,90,1
Nikola Vlašić,2,0,0,0,0,0
Adam Lallana,2,0,0,0,9,1
Hugo Bueno López,2,0,0,0,4,1
Alphonse Areola,2,0,0,0,90,10
Alisson Ramses Becker,2,0,0,0,90,2
Pape Matar Sarr,2,1,0,1,75,10
Matt Doherty,2,0,0,0,0,0
Gonçalo Manuel Ganchinho Guedes,2,0,0,0,0,0
Ellis Simms,2,0,0,0,0,0
Jonathan Castro Otto,2,0,0,0,0,0
Taiwo Awoniyi,2,1,0,0,83,7
Mads Roerslev Rasmussen,2,0,0,0,12,1
Calvin Bassey,2,0,0,0,23,1
James Ward-Prowse,2,0,2,0,80,9
Konstantinos Tsimikas,2,0,0,0,4,1
Mahmoud Dahoud,2,0,0,0,9,1
Ian Maatsen,2,0,0,0,0,0
Max Lowe,2,0,0,0,45,1
Joe Whitworth,2,0,0,0,0,0
Thomas Cannon,2,0,0,0,0,0
Hannibal Mejbri,2,0,0,0,0,0
Boubacar Kamara,2,0,0,1,90,3
Andrey Nascimento dos Santos,2,0,0,0,0,0
Loris Karius,2,0,0,0,0,0
Bart Verbruggen,2,0,0,0,0,0
Morgan Sanson,2,0,0,0,0,0
Bernd Leno,2,0,0,0,90,2
Josh Dasilva,2,0,0,0,9,1
Josh Bowler,2,0,0,0,0,0
Bashir Humphreys,2,0,0,0,0,0
Oleksandr Zinchenko,2,0,0,0,1,1
Tyrese Francois,2,0,0,0,0,0
Callum Wilson,2,0,0,0,24,1
Allan Saint-Maximin,2,0,0,0,0,0
Steven Alzate,2,0,0,0,0,0
Keinan Davis,2,0,0,0,0,0
Bruno Borges Fernandes,2,0,0,0,90,1
Hamed Traorè,2,0,0,0,6,1
Jeremy Sarmiento Morante,2,0,0,0,0,0
Sam Surridge,2,0,0,0,0,0
Jesurun Rak-Sakyi,2,0,0,0,7,1
Gabriel Fernando de Jesus,2,0,0,0,0,0
Eric Dier,2,0,0,0,0,0
Joel Ward,2,0,0,0,82,2
Harvey Barnes,2,0,0,0,34,0
Mateo Kovačić,2,0,0,1,90,3
Ashley Young,2,0,0,0,90,0
Aaron Cresswell,2,0,0,0,0,0
Sergio Reguilón,2,0,0,0,0,0
Morgan Gibbs-White,2,0,0,0,90,2
Raphaël Varane,2,0,0,0,90,1
Igor Julio dos Santos de Paulo,2,0,0,0,0,0
Brandon Williams,2,0,0,0,0,0
Hugo Lloris,2,0,0,0,0,0
Fabian Schär,2,0,0,0,90,2
Orel Mangala,2,0,0,0,68,2
Frederico Rodrigues de Paula Santos,2,0,0,0,0,0
Marek Rodák,2,0,0,0,0,0
Shandon Baptiste,2,0,0,0,0,0
Michał Karbownik,2,0,0,0,0,0
Mason Burstow,2,0,0,0,7,1
André Onana,2,0,0,0,90,2
Julián Álvarez,2,1,0,1,90,7
Maxwel Cornet,2,0,0,0,0,0
Terence Kongolo,2,0,0,0,0,0
Caoimhin Kelleher,2,0,0,0,0,0
Ivan Neves Abreu Cavaleiro,2,0,0,0,0,0
Chris Mepham,2,0,0,0,0,0
Facundo Buonanotte,2,0,0,0,0,0
John Fleck,2,0,0,0,0,0
Rodrigo Muniz Carvalho,2,0,0,0,4,1
Thomas Strakosha,2,0,0,0,0,0
Fábio Ferreira Vieira,2,0,0,0,0,0
Cheick Doucouré,2,0,0,0,90,1
Joe Hodge,2,0,0,0,0,0
Omari Forson,2,0,0,0,0,0
Joel Matip,2,0,0,0,0,0
Davinson Sánchez,2,0,0,0,0,0
Craig Dawson,2,0,0,0,70,-1
Toti António Gomes,2,0,0,0,19,1
Nayef Aguerd,2,1,0,0,66,5
Diogo Dalot Teixeira,2,0,0,0,24,1
Amadou Onana,2,0,0,0,90,2
Adrián San Miguel del Castillo,2,0,0,0,0,0
Youssef Ramalho Chermiti,2,0,0,0,0,0
Bukayo Saka,2,0,0,1,88,3
Ben Mee,2,0,0,0,0,0
Joe Worrall,2,0,0,0,90,2
Diego Carlos Santos Silva,2,0,0,0,26,1
Lewis Cook,2,0,0,0,0,0
Bendegúz Bolla,2,0,0,0,0,0
Malo Gusto,2,0,0,0,82,1
Dele Alli,2,0,0,0,0,0
Noni Madueke,2,0,0,0,15,1
Milos Kerkez,2,0,0,0,90,1
Kortney Hause,2,0,0,0,0,0
Will Hughes,2,0,0,0,0,0
Alexander Isak,2,0,0,0,65,2
John-Kymani Gordon,2,0,0,0,0,0
Cheikhou Kouyaté,2,0,0,0,1,1
Cédric Alves Soares,2,0,0,0,0,0
Pierre-Emerick Aubameyang,2,0,0,0,0,0
Garang Kuol,2,0,0,0,0,0
Tom Davies,2,0,0,0,0,0
Antwoine Hackford,2,0,0,0,8,1
Ethan Pinnock,2,0,0,1,90,7
Jay Stansfield,2,0,0,0,0,0
Ryan Yates,2,0,0,0,21,1
Frank Onyeka,2,0,0,0,0,0
Naouirou Ahamada,2,0,0,0,16,1
Philip Billing,2,0,0,0,90,2
Gabriel Słonina,2,0,0,0,0,0
Marc Guéhi,2,0,0,0,90,2
Seamus Coleman,2,0,0,0,0,0
Diogo Teixeira da Silva,2,1,1,0,75,12
Matthew Dibley-Dias,2,0,0,0,0,0
James McAtee,2,0,0,0,0,0
Erling Haaland,2,0,0,1,90,2
Anthony Martial,2,0,0,0,5,1
Danny Welbeck,2,0,0,0,56,1
Carlos Vinícius Alves Morais,2,0,0,0,0,0
Olu Aina,2,0,0,0,0,0
Rodrigo Hernandez,2,0,0,1,90,3
Victor Lindelöf,2,0,0,0,0,0
Kevin De Bruyne,2,0,0,0,0,0
George Shelvey,2,0,0,0,0,0
Lucas Bergström,2,0,0,0,0,0
Yasin Ayari,2,0,0,0,0,0
Lewis Miley,2,0,0,0,0,0
Roméo Lavia,2,0,0,0,0,0
Gustavo Henrique Furtado Scarpa,2,0,0,0,0,0
Aaron Hickey,2,0,0,1,77,5
Mads Bidstrup,2,0,0,0,0,0
Solly March,2,2,0,0,90,15
David Datro Fofana,2,0,0,0,0,0
Declan Rice,2,0,0,1,90,3
Kacper Kozłowski,2,0,0,0,0,0
Joe Rothwell,2,0,0,0,75,2
Vini de Souza Costa,2,0,0,0,57,1
Ben Doak,2,0,0,0,0,0
Fabio Henrique Tavares,2,0,0,0,0,0
Louie Marsh,2,0,0,0,0,0
Oliver McBurnie,2,0,0,0,0,0
Mathias Jensen,2,0,0,1,90,3
Wesley Fofana,2,0,0,0,0,0
Ryan Fredericks,2,0,0,0,0,0
Max Kilman,2,0,0,0,90,-1
Nathan Aké,2,0,0,0,0,0
Lewis Hall,2,0,0,0,0,0
Elliot Anderson,2,0,0,0,23,1
Mykhailo Mudryk,2,0,0,0,45,1
Siriki Dembélé,2,0,0,0,0,0
Dejan Kulusevski,2,0,0,1,87,3
Daniel Castelo Podence,2,0,0,0,0,0
Michale Olakigbe,2,0,0,0,0,0
Conor Gallagher,2,0,0,0,74,2
Eberechi Eze,2,0,0,0,90,2
Jonjo Shelvey,2,0,0,0,0,0
Thilo Kehrer,2,0,0,0,0,0
Hwang Ui-jo,2,0,0,0,0,0
Julio Enciso,2,0,2,0,66,7
Norberto Murara Neto,2,0,0,0,90,10
Richie Laryea,2,0,0,0,0,0
Antonee Robinson,2,0,0,0,90,1
Raúl Jiménez,2,0,0,0,85,2
Hwang Hee-chan,2,1,0,0,35,5
Willian Borges da Silva,2,0,0,0,22,1
Rhian Brewster,2,0,0,0,0,0
Jordan Pickford,2,0,0,0,90,0
Anis Slimane,2,0,0,0,0,0
Bruno Guimarães Rodriguez Moura,2,0,0,0,90,1
Ryan Fraser,2,0,0,0,0,0
Anthony Knockaert,2,0,0,0,0,0
Harry Maguire,2,0,0,0,0,0
Matheus Santos Carneiro Da Cunha,2,0,0,0,90,2
Francisco Jorge Tomás Oliveira,2,0,0,0,0,0
Ki-Jana Hoever,2,0,0,0,0,0
Loïc Mbe Soh,2,0,0,0,0,0
Moussa Diaby,2,0,0,1,63,3
João Cancelo,2,0,0,0,0,0
Pau Torres,2,0,0,1,90,6
Mohamed Elneny,2,0,0,0,0,0
Jarrad Branthwaite,2,0,0,0,0,0
Martin Ødegaard,2,1,0,1,89,11
Matheus Luiz Nunes,2,0,0,0,90,-1
Tom King,2,0,0,0,0,0
Rúben Gato Alves Dias,2,0,0,1,90,7
Djed Spence,2,0,0,0,0,0
Cameron Archer,2,0,0,0,5,0
Emiliano Martínez Romero,2,0,0,1,90,8
Bobby De Cordova-Reid,2,0,0,0,67,2
Tomáš Souček,2,0,0,0,90,2
Joško Gvardiol,2,0,0,1,90,6
Cole Palmer,2,0,0,0,0,0
Ivan Perišić,2,0,0,0,20,1
Jordan Amissah,2,0,0,0,0,0
Carlos Henrique Casimiro,2,0,0,0,90,2
Tom Heaton,2,0,0,0,0,0
Sepp van den Berg,2,0,0,0,0,0
Anel Ahmedhodžić,2,0,0,0,90,1
Max Aarons,2,0,0,0,90,1
Josh Powell,2,0,0,0,0,0
Cristian Romero,2,0,0,1,90,6
Daniel Bentley,2,0,0,0,0,0
Ethan Ampadu,2,0,0,0,0,0
Jan Paul van Hecke,2,0,0,0,0,0
Yasser Larouci,2,0,0,0,45,1
Carney Chukwuemeka,2,1,0,0,45,5
Adam Davies,2,0,0,0,0,0
Tyrick Mitchell,2,0,0,0,90,2
James Maddison,2,0,0,1,90,3
Mohamed Salah,2,1,0,0,85,5
Harry Kane,2,0,0,0,0,0
Yegor Yarmolyuk,2,0,0,0,0,0
Zack Steffen,2,0,0,0,0,0
Antoine Semenyo,2,1,0,0,75,6
Christian Pulisic,2,0,0,0,0,0
Adam Webster,2,0,0,0,90,1
Darwin Núñez Ribeiro,2,0,0,0,4,1
Axel Disasi,2,0,0,0,90,0
Folarin Balogun,2,0,0,0,0,0
Tyrone Mings,2,0,0,0,0,0
Conor Coventry,2,0,0,0,0,0
Ismaila Coulibaly,2,0,0,0,0,0
Fraser Forster,2,0,0,0,0,0
Jefferson Lerma Solís,2,0,0,0,90,2
Lewis Dunk,2,0,0,0,90,2
César Azpilicueta,2,0,0,0,0,0
Steve Cook,2,0,0,0,0,0
Alex Telles,2,0,0,0,0,0
José Malheiro de Sá,2,0,0,0,90,1
João Neves Virgínia,2,0,0,0,0,0
Saša Lukić,2,0,0,0,90,2
Emiliano Marcondes,2,0,0,0,0,0
Jacob Ramsey,2,0,0,0,0,0
Sandro Tonali,2,0,0,0,66,1
Keane Lewis-Potter,2,0,0,0,19,1
Dwight McNeil,2,0,0,0,0,0
Moisés Caicedo Corozo,2,0,0,0,29,1
Jorge Luiz Frello Filho,2,0,0,0,11,1
Kenny Tete,2,0,0,0,85,1
Jack Harrison,2,0,0,0,0,0
Adam Smith,2,0,0,0,0,0
Romelu Lukaku Bolingoli,2,0,0,0,0,0
James Garner,2,0,0,0,90,2
Thiago Emiliano da Silva,2,0,0,0,90,1
Rob Holding,2,0,0,0,0,0
Aaron Wan-Bissaka,2,0,0,0,65,1
Deniz Undav,2,0,0,0,0,0
Álvaro Fernández Carreras,2,0,0,0,0,0
Bertrand Traoré,2,0,0,0,0,0
Nathan Patterson,2,0,0,0,90,-1
Christopher Nkunku,2,0,0,0,0,0
Serge Aurier,2,0,2,0,90,10
Tom Cairney,2,0,0,0,0,0
Harry Arter,2,0,0,0,0,0
Mohamed Dräger,2,0,0,0,0,0
Rúnar Alex Rúnarsson,2,0,0,0,0,0
Scott Carson,2,0,0,0,0,0
Bénie Traoré,2,0,0,0,81,2
Jurriën Timber,2,0,0,0,0,0
Wes Foderingham,2,0,0,0,90,1
Odsonne Edouard,2,0,0,0,90,2
Jamal Lowe,2,0,0,0,0,0
Matt Ritchie,2,0,0,0,0,0
James Milner,2,0,0,0,56,0
Mathias Jorgensen,2,0,0,0,0,0
Michael Olise,2,0,0,0,0,0
Oliver Skipp,2,0,0,0,0,0
Leander Dendoncker,2,0,0,0,0,0
Scott McKenna,2,0,0,0,90,2
Michael Keane,2,0,0,0,90,-1
Sasa Kalajdzic,2,0,0,0,0,0
Jarrod Bowen,2,0,0,0,90,2
Matt Turner,2,0,0,0,90,2
Raheem Sterling,2,0,0,0,90,2
Kell Watts,2,0,0,0,0,0
Sergi Canós Tenés,2,0,0,0,0,0
Ryan Christie,2,0,0,0,62,2
Robert Sánchez,2,0,0,0,90,2
Gavin Kilkenny,2,0,0,0,0,0
Armando Broja,2,0,0,0,0,0
Dominic Solanke,2,0,1,0,90,5
Chris Wood,2,1,0,0,6,7
Alex Scott,2,0,0,0,0,0
Jaden Philogene-Bidace,2,0,0,0,0,0
Filip Marschall,2,0,0,0,0,0
Kalvin Phillips,2,0,0,0,0,0
Rodrigo Bentancur,2,0,0,0,0,0
Matty Cash,2,0,0,1,90,6
Mason Holgate,2,0,0,0,0,0
Jaidon Anthony,2,0,0,0,62,1
Tariq Lamptey,2,0,0,0,0,0
Joseph Anang,2,0,0,0,0,0
George Baldock,2,0,0,0,0,0
Jeff Hendrick,2,0,0,0,0,0
Mark Gillespie,2,0,0,0,0,0
Nélson Cabral Semedo,2,0,0,0,90,0
Kevin Mbabu,2,0,0,0,0,0
Tyrell Malacia,2,0,0,0,0,0
Chris Richards,2,0,0,0,0,0
Jordan Henderson,2,0,0,0,0,0
Kyle Walker,2,0,0,1,90,6
Vicente Guaita,2,0,0,0,0,0
Braian Ojeda Rodríguez,2,0,0,0,0,0
Mads Bech Sørensen,2,0,0,0,0,0